"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.07506610808348e-79,12.1641541636656,0.811,0,1.7778933623003e-74,"28","Dthd1"
1.15681050595555e-63,11.7510358504253,0.679,0,2.9069491204157e-59,"28","Gm867"
2.72462652607081e-54,11.7878353562343,0.588,0,6.84671399736334e-50,"29","Foxd3"
3.05923339495036e-63,11.6020657059981,0.658,0,7.68754759817076e-59,"29","Gpr37l1"
9.42844544712036e-72,11.2659361027908,0.753,0.006,2.36927405640687e-67,"29","Mpz"
1.51658613332259e-22,11.1235432503547,0.287,0,3.81102929442634e-18,"29","Gm12688"
2.5543356642904e-41,10.9640270360685,0.466,0.001,6.41879009079534e-37,"29","Mmd2"
2.29087902313636e-65,8.94441173617458,0.661,0.005,5.75674989723936e-61,"3","Iglc2"
1.82966906974222e-42,8.6053317034106,0.53,0.004,4.59777540535522e-38,"3","Fcmr"
8.85935772109139e-26,8.58129509401062,0.332,0.002,2.22626800173305e-21,"3","Fcer2a"
2.2239174101297e-26,8.47610439528332,0.35,0.004,5.58848205991493e-22,"3","Iglc1"
3.01819830659879e-53,8.41108008577465,0.564,0.006,7.5844305246521e-49,"3","Ighd"
1.65899719501028e-71,13.6667287794442,0.746,0,4.16889405134133e-67,"30","Snorc"
8.06435064939868e-63,13.2319989582708,0.654,0,2.02649067468739e-58,"30","Ucma"
2.31354103487798e-95,12.3255087395592,0.902,0.002,5.81369726654488e-91,"30","Cytl1"
1.82590568057265e-68,12.0091225216988,0.722,0.004,4.588318384711e-64,"30","Col2a1"
2.89796230741035e-20,11.9189147266133,0.256,0,7.28228948229147e-16,"30","Matn3"
3.73148338506186e-85,11.4379358977059,0.79,0,9.37684459832195e-81,"31","Ankrd63"
8.21222332330603e-51,11.345669243435,0.535,0.001,2.06364959891357e-46,"31","Pvalb"
1.50949366139788e-34,11.250162671297,0.378,0,3.79320662172674e-30,"31","Ancv1r"
3.80619725279454e-56,10.9301908699013,0.602,0,9.56459307654741e-52,"31","Cacng2"
4.00808293768025e-94,10.0696532100429,0.874,0.002,1.00719116140967e-89,"31","Calr4"
2.67961589594852e-49,8.0582703728546,0.54,0.002,6.73360678492903e-45,"32","Btbd17"
7.20412653801032e-68,8.05199980164407,0.722,0.004,1.81032495773661e-63,"32","Neurog1"
6.3882731007864e-111,7.80898221920559,0.978,0.009,1.60530914749661e-106,"32","Neurod1"
2.13172711320678e-21,7.65680754564628,0.252,0.001,5.35681706277733e-17,"32","Ascl1"
3.49809072831254e-25,7.44384341442767,0.292,0.002,8.79035219117658e-21,"32","Zmat4"
3.20074747393004e-69,6.62527533932362,0.753,0.018,8.04315832723879e-65,"33","Cdc20"
2.45108400897137e-68,5.89910947325031,0.724,0.02,6.15932900614416e-64,"33","Anln"
8.84787937350853e-67,5.89843754028588,0.692,0.015,2.22338360776896e-62,"33","Pbk"
2.03160586512422e-22,5.83475171404712,0.288,0.005,5.10522237847064e-18,"33","Iqgap3"
1.19530262164452e-18,5.79921822277364,0.253,0.004,3.00367595793052e-14,"33","Fam83d"
2.13174275381187e-21,16.7063786697817,0.271,0,5.35685636605385e-17,"34","Lce3a"
6.99010111984638e-103,16.1998545363918,0.938,0,1.7565425104062e-98,"34","Gm9573"
8.52279648955211e-44,15.9012733147445,0.502,0,2.14169352985955e-39,"34","Clca4a"
5.83511590749606e-32,15.669279892843,0.374,0,1.46630627639469e-27,"34","Crct1"
1.77672147761591e-108,15.362077389887,0.979,0.001,4.46472340110101e-104,"34","Csta1"
1.80838810597401e-29,3.29646850519124,0.388,0.016,4.54429847150209e-25,"35","5430401F13Rik"
3.40184746571738e-58,2.77504239264332,0.954,0.514,8.54850249660121e-54,"35","S100a5"
3.43120174390462e-17,2.46342725791628,0.477,0.167,8.62226686225792e-13,"35","Dlg2"
1.67954721285371e-27,2.44718716008647,0.406,0.027,4.22053419118008e-23,"35","Gm6619"
2.09914940216672e-13,2.34970772341684,0.329,0.091,5.27495253270476e-09,"35","Lrrc3b"
1.42142065265297e-34,6.63606074985934,0.408,0.004,3.57188795805166e-30,"36","Gzmk"
5.76515412540801e-35,6.02334256435916,0.419,0.007,1.44872558017378e-30,"36","Mxd3"
1.30356002507223e-41,5.96253518025249,0.509,0.01,3.27571598700401e-37,"36","Hist1h2bm"
