"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.36988225596759e-16,1.27673230988178,0.777,0.405,1.09810771210209e-11,"28","Suclg1"
4.37199872626677e-16,0.502070138955195,0.994,0.995,1.09863955992358e-11,"28","mt-Co3"
4.37434346880579e-16,1.5653378779936,0.725,0.294,1.09922877027621e-11,"28","Arl4a"
5.49574992149432e-16,1.55527602547118,0.562,0.217,1.38102699777231e-11,"28","Cyb561"
5.51870382537884e-16,1.21790555050388,0.762,0.425,1.38679508427945e-11,"28","Hectd1"
5.86664276675578e-16,1.44204766507018,0.428,0.153,1.47422866085806e-11,"28","Pacrg"
6.22885754662584e-16,1.47543744461094,0.506,0.182,1.56524961289161e-11,"28","Elmod1"
6.4429344357254e-16,1.4135641733088,0.466,0.178,1.61904499435344e-11,"28","Eci1"
6.44715734612236e-16,1.69246524838152,0.567,0.201,1.62010616950709e-11,"28","Ahsa1"
6.90590112729228e-16,0.875899894133422,0.75,0.351,1.73538389427728e-11,"28","Ctsl"
7.00994162940775e-16,1.04590576473383,0.65,0.217,1.76152823205387e-11,"28","Hes1"
7.09367933605073e-16,1.87469574642095,0.419,0.12,1.78257068035619e-11,"28","Vwa3a"
9.20348459360978e-16,1.31949493532401,0.751,0.372,2.3127436435282e-11,"28","Cspp1"
1.00266906461629e-15,2.10117281677197,0.424,0.107,2.51960709247428e-11,"28","Mrpl39"
1.03709258776618e-15,1.02725115669862,0.593,0.254,2.60610996379763e-11,"28","Pnp"
1.05971947738716e-15,1.12583839690693,0.54,0.25,2.66296907472618e-11,"28","Plxnb2"
1.11264088100633e-15,1.89823535333793,0.34,0.074,2.7959552698808e-11,"28","Eya2"
1.28175731234595e-15,1.22308683406191,0.465,0.195,3.22092795019414e-11,"28","Cntrl"
1.28930750314699e-15,2.84830117443204,0.263,0.034,3.23990082465807e-11,"28","Cldn8"
1.6023300411093e-15,1.33827989095544,0.633,0.28,4.02649516030356e-11,"28","Cbr1"
1.67711697113824e-15,1.65725577783484,0.371,0.101,4.21442723677328e-11,"28","Cidea"
2.19749033193674e-15,1.72733618642088,0.516,0.174,5.52207345512383e-11,"28","Coa6"
2.26999018094861e-15,1.11087573190303,0.562,0.266,5.70425832570577e-11,"28","Zc2hc1a"
2.4531405211743e-15,0.653290170279302,0.96,0.903,6.16449681565891e-11,"28","mt-Nd5"
2.49153838744185e-15,1.6251327574236,0.482,0.167,6.26098681380262e-11,"28","Sec23b"
2.51556712976983e-15,1.25146859827106,0.556,0.246,6.32136864039859e-11,"28","Med19"
2.52245170256523e-15,1.45264385083603,0.695,0.315,6.33866888337617e-11,"28","Cib1"
2.60990616418974e-15,1.05294012280886,0.589,0.28,6.55843319999239e-11,"28","Tusc3"
2.61405795874872e-15,2.02641210471543,0.339,0.087,6.56886624453965e-11,"28","Tmem67"
2.86861262339902e-15,2.58363964038964,0.287,0.051,7.20853666133941e-11,"28","Rfx2"
2.91412070764033e-15,2.12703840860686,0.327,0.082,7.32289392622939e-11,"28","Myo5b"
