"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ankrd13a",26.9945308070979,0.196774472499847,0.421263816631666,0.4671050888567,0.640424693514383,0.810391922824613
"Il10ra",18.5471430646881,0.253048754677843,0.542133602868313,0.466764563825256,0.64066833144059,0.810391922824613
"Tmbim4",47.8634976546974,0.14932561525935,0.319332812835266,0.467617511440586,0.640058139829632,0.810391922824613
"Baz2a",19.8874138005457,0.227166618498214,0.486192936744446,0.467235538260437,0.640331370193114,0.810391922824613
"Tm9sf2",36.8696210348054,-0.171445440052643,0.366266466834343,-0.468089370928366,0.639720680005109,0.810391922824613
"Psmb9",44.3025257884733,-0.155634413305922,0.334267126831178,-0.46559892018495,0.641502616038917,0.811170656272796
"Frrs1",16.2043971913178,-0.256739726400086,0.552309461747208,-0.464847597555003,0.642040599301159,0.811574318026337
"Nr4a2",30.499882849477,0.260542636068783,0.561598446294774,0.463930478774915,0.642697555288259,0.812128041593815
"Emsy",18.8234629624604,-0.250317752166852,0.540875274296181,-0.462801248388697,0.643506836328921,0.81287380414719
"Rinl",25.7617000498447,-0.202732351274414,0.439461279568285,-0.461320167896415,0.644568917561655,0.81393828596111
"Fkbp1a",11.2696501907254,-0.302743535429239,0.657899520577645,-0.460166827851502,0.645396479303472,0.814151968111486
"Ccdc9",12.6387937417256,-0.288765561019354,0.627360146543273,-0.460286746951395,0.645310412683532,0.814151968111486
"Dnm2",37.962802238765,-0.168874106399802,0.366839935433581,-0.460348206637329,0.645266304558608,0.814151968111486
"Mical1",16.5099563152742,0.240280304408063,0.522734274314106,0.459660512453179,0.645759917092831,0.814333546028009
"Eloc",57.5107395064631,-0.15429462579271,0.336156820757074,-0.458995969337216,0.646237060541798,0.814658339996626
"Txnl1",37.4364408975477,-0.184967138380972,0.40390363303287,-0.457948686898587,0.646989307075687,0.815329595533559
"Rab8a",71.7336136417125,-0.128120409240392,0.280427870492098,-0.456874735794145,0.647761084053894,0.815751048962497
"Tmod3",37.8302218420894,0.157565113074983,0.345340871575072,0.45625967281643,0.648203259391224,0.815751048962497
"Lyz2",770.185980720084,-0.0477299547443463,0.104569983428496,-0.456440301312503,0.648073390760707,0.815751048962497
"Dpy30",12.0192291907652,-0.281552415509629,0.616998568748041,-0.456325881080941,0.648155655600517,0.815751048962497
"Kcmf1",26.4010546670529,-0.200715409770434,0.440694193360618,-0.455452812390904,0.648783508127629,0.816204413412514
"Zfp787",11.3005232059024,0.290458600049052,0.638325088577939,0.45503240472051,0.649085926261647,0.816308063196851
"Tmed5",74.3994829288596,0.115244437250951,0.253626133685552,0.454387075875359,0.649550252861654,0.816615194211026
"Gab2",14.0033271260304,0.27171875206327,0.598444689076922,0.454041546399862,0.64979892399536,0.816651086728586
"Pgls",24.9972952544401,0.215701806229118,0.476078697605919,0.453080146861913,0.650491030582091,0.817244064835611
"Zfp638",32.229335207004,0.182728665975068,0.40456507224711,0.451666934468966,0.651508942181568,0.818245827858367
"Nop58",20.7702500749394,0.226150673208329,0.501065313091108,0.451339710213005,0.651744728685834,0.818264955473585
"Rab32",32.5963793367905,0.183706775164883,0.407614338026334,0.450687716370307,0.65221463674963,0.818577910128934
"Cd14",274.259338377292,0.0712041013632241,0.158143044967373,0.450251235379426,0.652529296561225,0.818695870896904
"Nemf",26.4639862446497,0.565804750876404,1.25845315419046,0.44960334756392,0.652996473891004,0.819005043318332
"Fuca2",25.9583840391369,0.190858515862748,0.42532498357223,0.448735727348441,0.653622308457105,0.819512931522764
"Uhrf1bp1l",20.8040721260005,0.217885363695465,0.486076758224664,0.448252997101249,0.65397061851231,0.819672633338064
"Tpd52",300.434287241136,0.0635628243458746,0.142147844798894,0.447159958251927,0.654759570205629,0.820384331463318
"Zfand2b",12.6277539495331,0.276072736802013,0.619277802016548,0.445797888932948,0.655743246871307,0.821339448309435
"Nrd1",58.2862802232823,0.143957362984723,0.323588587307041,0.44487775104419,0.656408102069599,0.821894721119882
"Soat1",58.505584976121,-0.134914759149716,0.304014604380358,-0.443777230454763,0.657203652115685,0.822613208282454
"Dek",50.7176057585408,0.141379541555541,0.319040262449705,0.443140124290201,0.657664384396962,0.822912265130768
"Cbx4",15.6824543181361,0.245108216120493,0.553919477757019,0.442497918854574,0.658128935949125,0.823215897630227
"Slbp",19.3431233886478,-0.238201853768389,0.542442360732224,-0.439128414393832,0.660568491402683,0.825988912404434
"Tecr",30.1193385230678,0.183610098867525,0.41934558954651,0.43784912359776,0.661495658244542,0.826869572805678
"Ampd3",13.6125826339787,-0.271054932374328,0.622410612919279,-0.435492144169916,0.663205239968254,0.82816945145817
"Hivep1",12.2600406575668,-0.274589610662283,0.63017999235006,-0.435732035284534,0.663031159991461,0.82816945145817
"Gpc3",38.8399798943459,-0.156087965474724,0.358353775442881,-0.43556947399764,0.663149122628285,0.82816945145817
"Fbrs",17.0851749084524,0.241563297680955,0.555481696874707,0.434871750122564,0.663655520956939,0.828452887870203
"Api5",31.0251367128949,0.170066127779433,0.39201360627101,0.433827104618051,0.664413997425496,0.829120730053344
"Imp4",16.7712576135522,-0.254675029651508,0.588886965458589,-0.432468444013161,0.665400982316953,0.829794166183494
"Cebpd",194.368634206579,-0.07163705426116,0.165534223751858,-0.432762800570754,0.665187100774989,0.829794166183494
"Eps8",16.8411761313138,-0.23920377398071,0.555430985058859,-0.430663359472755,0.666713164317174,0.831151155785187
"Rnf13",35.638318861564,0.161499622273866,0.375293714758039,0.430328609094848,0.666956618888763,0.831175363143202
"Arf6",40.6579301387078,-0.147105139562593,0.342637052539169,-0.429332258354564,0.667681444331504,0.831240992775127
"Supt16",37.2048329635423,-0.172805030025124,0.402300045508974,-0.429542655921149,0.667528358417047,0.831240992775127
"Eif2s3x",17.540620528111,-0.219992150261877,0.512386432068724,-0.429348117930591,0.667669904373378,0.831240992775127
"Rsu1",29.7839680354292,-0.189848852502102,0.444823290834713,-0.42679611525253,0.669527836244933,0.831614259915865
"Rbm38",27.4281992389528,-0.179283691906072,0.420099126814141,-0.426765209596329,0.669550348886439,0.831614259915865
"Prpf38b",45.1493603699259,-0.145609966792873,0.341104645696714,-0.426877700523431,0.669468408422005,0.831614259915865
"Sptlc2",40.6468946546673,-0.149201681930489,0.348726453625475,-0.427847329559712,0.668762275978288,0.831614259915865
"Mcrs1",11.4713245105882,0.270189972875651,0.631536105770061,0.427829811165263,0.668775031154499,0.831614259915865
"Mbp",31.0717284805044,0.187119700771697,0.438348733756549,0.426874053377828,0.669471065008364,0.831614259915865
"Sept6",12.4214288357945,0.299891762809396,0.700870980188092,0.427884405670376,0.668735281107105,0.831614259915865
"Ubap2l",39.7383167795233,0.148266003313819,0.349091965497016,0.424719036723536,0.671041504626603,0.832909941420139
"Rp9",58.0791488495731,0.123631269309701,0.291090511823327,0.424717619737249,0.671042537710187,0.832909941420139
"Mia2",59.7169165541802,0.126072882791698,0.29745905542174,0.423832727542789,0.671687808290079,0.833235801314663
"Kdm3b",15.4517268848696,-0.241801115432562,0.570633377625017,-0.423741626259125,0.671754253836161,0.833235801314663
"Mapk1",19.3485944246607,0.219304694607407,0.520069749876394,0.421683235103617,0.673256242923701,0.834819739721568
"Sntb2",15.9209865457073,0.24105275971174,0.573153308909477,0.420572918213427,0.674066972794372,0.834844844455265
"Tcf20",14.0453749833067,0.259315043706926,0.616795815411184,0.420422832366421,0.674176591371422,0.834844844455265
"Ppp2r1a",19.1429705748293,-0.207710694942384,0.493154516073643,-0.421187859326764,0.673617908983178,0.834844844455265
"Vbp1",15.2199031535645,0.258992216761009,0.615482774282011,0.420795231943144,0.673904613672842,0.834844844455265
"Ankle2",11.9126248176981,0.277541048445001,0.660854884207379,0.419972758131129,0.674505354686007,0.834973261890253
"Crtc3",21.4544437783309,-0.218343108560301,0.521410767106704,-0.418754506685548,0.675395555914524,0.835146092064876
"Tmem135",11.609109482591,-0.281770221011405,0.673206431217805,-0.418549508657684,0.675545396842775,0.835146092064876
"Mrpl17",31.5975350636318,-0.166491318712027,0.397712686352459,-0.418622096868392,0.675492337862417,0.835146092064876
"Txndc17",31.588779275602,0.175559087533652,0.418998857902314,0.418996577729531,0.675218633457855,0.835146092064876
"Ctdspl2",11.56731333258,-0.302009253261194,0.72271254169844,-0.417882955997201,0.676032694611294,0.835191907095538
"Il10rb",41.5673650118745,-0.144306295147145,0.345247167359273,-0.417979664397871,0.675961985415714,0.835191907095538
"Commd2",11.4167243333118,-0.264461589609563,0.64141469566865,-0.412309838541932,0.680112338289445,0.836333037803726
"Gatad2b",22.5580782148978,0.189980117300217,0.460279455579218,0.412749504670256,0.679790150711767,0.836333037803726
"Smim8",11.3758891484584,-0.292899458953893,0.707187861498194,-0.414174895951096,0.678746025475157,0.836333037803726
"Insr",14.8272620957014,-0.232218119361562,0.561763847874538,-0.413373199859996,0.67933320683994,0.836333037803726
"Agpat5",12.1610851975511,0.259873249893303,0.630042843868629,0.41246917161635,0.67999557217487,0.836333037803726
"Isyna1",14.8021879632034,-0.255215882282199,0.618123584374206,-0.412888116120956,0.679688588283948,0.836333037803726
"Rnf111",25.3446719285912,-0.181280227768269,0.438277405377462,-0.413619834251193,0.679152545179452,0.836333037803726
"Ggt5",21.4796732306423,-0.195351583690709,0.473230461911,-0.412804329843519,0.67974997889356,0.836333037803726
"Gpbp1",35.2963533437429,0.149376013109453,0.359890129282147,0.415060044595847,0.678097947910283,0.836333037803726
"Hnrnpll",13.4144295025568,0.248088130589818,0.599103756572338,0.414098773156103,0.678801771257158,0.836333037803726
"Rab18",30.7758529806477,0.172306006992655,0.41438261097192,0.415813797274256,0.677546261928067,0.836333037803726
"Csf1r",25.126236366775,0.17695163411674,0.427414095324178,0.414005144080541,0.67887033954191,0.836333037803726
