"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022618","protein-RNA complex assembly",92,-0.765363959337752,-1.64030528805051,0.00029660904827864,0.0312675371727066,0.0292966481019078,353,"tags=28%, list=10%, signal=26%","53356/67332/20044/56347/20826/68193/100503670/20638/68011/67097/13669/101739/20054/15516/98221/16785/20643/20104/22121/66085/69878/68135/67941/73830/67025/20085"
"GO:2000147","positive regulation of cell motility",181,0.676672994282996,1.61739145779377,0.000287403583349997,0.0312675371727066,0.0292966481019078,297,"tags=15%, list=8%, signal=15%","20305/20343/193385/19204/11501/14289/18003/17096/17395/12977/12765/24088/58217/232227/11465/27226/16001/12768/19055/19878/192176/26397/21825/18128/13653/230738/20351/12273"
"GO:0019221","cytokine-mediated signaling pathway",174,0.691742491504466,1.64640669181596,0.000337207112265465,0.0330940652698966,0.0310080445133377,205,"tags=14%, list=6%, signal=14%","20305/17394/12505/213002/18726/18725/16180/12986/17096/16172/20852/23962/56045/12977/246727/69082/12765/80859/231655/12768/108960/56715/100038882/16181/19697"
"GO:0016477","cell migration",420,0.562262842625764,1.48019912720867,0.000340097113445578,0.0330940652698966,0.0310080445133377,297,"tags=14%, list=8%, signal=14%","20202/20305/20343/12505/193385/19204/20201/11501/14289/68891/245195/24136/16911/18003/12986/17096/16172/76905/20345/17395/12977/12765/17101/24088/28240/58217/16408/232227/11465/64652/60599/27226/16001/12768/19055/83431/19878/56715/16181/12798/320795/57778/19664/19252/20660/192176/20684/68713/26397/21825/94176/16170/16414/18128/13653/230738/20351/12273"
"GO:0002757","immune response-activating signaling pathway",200,0.667307389710751,1.61532359557785,0.000408635054535331,0.0382906180731255,0.0358770426048174,454,"tags=23%, list=13%, signal=21%","20202/20201/58185/12169/14289/16365/65221/17096/104418/217304/234311/246727/24088/80859/14293/231655/108960/108089/19063/56715/22350/19697/12229/20128/26397/230738/217305/12273/503610/12042/230787/21682/16784/279572/56619/319430/16854/378460/319817/19386/26416/216799/108155/12363/13205/384309"
"GO:0048646","anatomical structure formation involved in morphogenesis",289,0.615037223882803,1.56437449234795,0.000464363561503055,0.0419585646643832,0.0393137872370256,332,"tags=16%, list=9%, signal=16%","21928/17394/18054/12505/193385/326618/11501/12226/13660/24136/16911/15277/12986/76905/17395/12765/24088/53945/21817/11465/20229/12125/19878/12306/20817/320795/19697/13654/19664/19252/75547/192176/20684/68713/21825/94176/16414/18128/230738/20351/12273/12042/232791/23872/19225/21937"
"GO:0007159","leukocyte cell-cell adhesion",153,0.693282797055851,1.63686178189277,0.000502744923957015,0.0423981552537082,0.0397256690789894,302,"tags=16%, list=8%, signal=16%","20202/20343/12505/193385/19204/20201/11501/68891/14190/76905/20345/78317/80859/16408/20555/23959/19055/269023/22350/19697/57261/21825/16414/230738/12042"
"GO:0032101","regulation of response to external stimulus",362,0.580166372156316,1.51898541671735,0.000490451016103688,0.0423981552537082,0.0397256690789894,343,"tags=19%, list=10%, signal=19%","20202/17394/20343/12505/193385/20201/58185/11501/14289/243272/14190/16365/65221/18003/18569/17096/232413/16172/234311/56045/12977/246727/12765/24088/80859/58217/231655/27226/23959/16001/12768/17969/209200/108960/83431/108089/21354/19063/56715/100038882/100182/12306/93694/21946/67526/224647/19697/15951/12229/233781/19252/192176/20128/26397/57261/209387/21825/16170/231712/18128/230738/12273/503610/12042/19225/16784/279572/21937/16174/26410"
"GO:0051607","defense response to virus",113,0.75003089249583,1.70490895160875,0.000526144851967671,0.0429402088863938,0.0402335554034362,288,"tags=23%, list=8%, signal=22%","213002/58185/14190/16365/15957/667370/234311/23962/56045/246727/17101/231655/23807/209200/12421/100038882/67526/224647/19697/276950/74244/20128/68713/209387/15959/230738"
"GO:0031349","positive regulation of defense response",205,0.648700990401935,1.57914112241244,0.000594731107127878,0.0470209281572979,0.0440570543832889,454,"tags=22%, list=13%, signal=21%","20202/17394/20201/58185/11501/14289/16365/65221/18569/17096/16172/234311/246727/24088/80859/231655/12768/108960/108089/19063/19697/15951/12229/20128/26397/209387/16170/503610/12042/19225/16784/279572/21937/16174/26410/56619/19386/26416/12796/207728/216799/108155/69150/12363/13205/384309"
"GO:0045321","leukocyte activation",351,0.578839082013257,1.50502987163158,0.000646141330253651,0.0495375019861133,0.0464150008207727,434,"tags=19%, list=12%, signal=19%","17394/12505/193385/19204/58185/67742/11501/14289/68891/14190/18003/18173/17096/232413/20852/217304/20345/78317/14728/12765/17101/24088/80859/16408/20555/19055/269023/56715/21946/320795/59027/12229/19664/227525/246256/57261/21825/75974/16988/94176/16170/16414/13653/230738/20351/70103/12273/12042/20556/320790/230787/16174/320404/56619/16854/378460/16952/54519/17474/19401/319817/14191/277360/12796/216799/18826/69150"
